quote,author,tags,quote_clean,meta
“As if you were on fire from within.The moon lives in the lining of your skin.”,Pablo Neruda,"['beauty', 'inner-beauty', 'love', 'passion']",“as if you were on fire from within.the moon lives in the lining of your skin.”,"Author: Pablo Neruda, Tags: beauty, inner-beauty, love, passion"
“The measure of intelligence is the ability to change.”,Albert Einstein,"['adaptation', 'flexibility', 'intelligence', 'open-mindedness', 'wisdom']",“the measure of intelligence is the ability to change.”,"Author: Albert Einstein, Tags: adaptation, flexibility, intelligence, open-mindedness, wisdom"
"“What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...”","Antoine de Saint-ExupÃ©ry,",['inspirational'],"“what makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...”","Author: Antoine de Saint-ExupÃ©ry,, Tags: inspirational"
"“When I was a boy of 14, my father was so ignorant I could hardly stand to have the old man around. But when I got to be 21, I was astonished at how much the old man had learned in seven years.”",Mark Twain,"['arrogance', 'humor', 'ignorance']","“when i was a boy of 14, my father was so ignorant i could hardly stand to have the old man around. but when i got to be 21, i was astonished at how much the old man had learned in seven years.”","Author: Mark Twain, Tags: arrogance, humor, ignorance"
“Perhaps it's impossible to wear an identity without becoming what you pretend to be.”,"Orson Scott Card,","['identity', 'pretend']",“perhaps it's impossible to wear an identity without becoming what you pretend to be.”,"Author: Orson Scott Card,, Tags: identity, pretend"
"“Oh well... I'd just been thinking, if you had died, you'd have been welcome to share my toilet.”","J.K. Rowling,","['flirting', 'humor']","“oh well... i'd just been thinking, if you had died, you'd have been welcome to share my toilet.”","Author: J.K. Rowling,, Tags: flirting, humor"
"“It happens to everyone as they grow up. You find out who you are and what you want, and then you realize that people you've known forever don't see things the way you do. So you keep the wonderful memories, but find yourself moving on.”",Nicholas Sparks,['moving-on'],"“it happens to everyone as they grow up. you find out who you are and what you want, and then you realize that people you've known forever don't see things the way you do. so you keep the wonderful memories, but find yourself moving on.”","Author: Nicholas Sparks, Tags: moving-on"
"“I'm quite illiterate, but I read a lot. ”","J.D. Salinger,",['holden'],"“i'm quite illiterate, but i read a lot. ”","Author: J.D. Salinger,, Tags: holden"
"“We waste time looking for the perfect lover, instead of creating the perfect love.”",Tom Robbins,"['love', 'sex']","“we waste time looking for the perfect lover, instead of creating the perfect love.”","Author: Tom Robbins, Tags: love, sex"
“Time is a drug. Too much of it kills you.”,"Terry Pratchett,","['humor', 'science']",“time is a drug. too much of it kills you.”,"Author: Terry Pratchett,, Tags: humor, science"
“Maybe everâ€™body in the whole damn world is scared of each other.”,"John Steinbeck,","['loneliness', 'people', 'scared', 'world']",“maybe everâ€™body in the whole damn world is scared of each other.”,"Author: John Steinbeck,, Tags: loneliness, people, scared, world"
"“Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.”",J.K. Rowling,['inspirational'],"“is 'fat' really the worst thing a human being can be? is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? not to me.”","Author: J.K. Rowling, Tags: inspirational"
"“If a book about failures doesn't sell, is it a success?”",Jerry Seinfeld,"['books', 'funny']","“if a book about failures doesn't sell, is it a success?”","Author: Jerry Seinfeld, Tags: books, funny"
“Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”,"Markus Zusak,","['pain', 'sadness', 'stoicism']",“imagine smiling after a slap in the face. then think of doing it twenty-four hours a day.”,"Author: Markus Zusak,, Tags: pain, sadness, stoicism"
"“You were born with wings, why prefer to crawl through life?”",Rumi,['inspirational'],"“you were born with wings, why prefer to crawl through life?”","Author: Rumi, Tags: inspirational"
“Wherever you go becomes a part of you somehow.”,Anita Desai,['travel'],“wherever you go becomes a part of you somehow.”,"Author: Anita Desai, Tags: travel"
"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”",Soren Kierkegaard,"['faith', 'god', 'prayer']","“the function of prayer is not to influence god, but rather to change the nature of the one who prays.”","Author: Soren Kierkegaard, Tags: faith, god, prayer"
"“When you do things from your soul, you feel a river moving in you, a joy.”",Rumi,['joy'],"“when you do things from your soul, you feel a river moving in you, a joy.”","Author: Rumi, Tags: joy"
“How did it get so late so soon?”,Dr. Seuss,"['afternoon', 'december', 'flewn', 'june', 'late', 'night', 'soon', 'time']",“how did it get so late so soon?”,"Author: Dr. Seuss, Tags: afternoon, december, flewn, june, late, night, soon, time"
"“I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.”",Anais Nin,"['anais-nin', 'art']","“i am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. i am so thirsty for the marvelous that only the marvelous has power over me. anything i can not transform into something marvelous, i let go. reality doesn't impress me. i only believe in intoxication, in ecstasy, and when ordinary life shackles me, i escape, one way or another. no more walls.”","Author: Anais Nin, Tags: anais-nin, art"
“I can resist anything except temptation.”,"Oscar Wilde,",['temptation'],“i can resist anything except temptation.”,"Author: Oscar Wilde,, Tags: temptation"
“Atticus told me to delete the adjectives and I'd have the facts.”,"Harper Lee,",['writing-advice'],“atticus told me to delete the adjectives and i'd have the facts.”,"Author: Harper Lee,, Tags: writing-advice"
“Life shrinks or expands in proportion to one's courage.”,Anais Nin,"['courage', 'life']",“life shrinks or expands in proportion to one's courage.”,"Author: Anais Nin, Tags: courage, life"
“We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.”,Plato,"['darkness', 'dishonesty', 'fear', 'light', 'willful-ignorance']",“we can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.”,"Author: Plato, Tags: darkness, dishonesty, fear, light, willful-ignorance"
“I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.”,Margaret Atwood,"['love', 'obsession', 'sleep']",“i would like to be the air that inhabits you for a moment only. i would like to be that unnoticed and that necessary.”,"Author: Margaret Atwood, Tags: love, obsession, sleep"
